Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
5,52300402;-1,37886405;10,16321468;-2,008475542
5,53986324;-0,804287493;9,839884758;-1,19192481
5,55672329;0,277866542;9,160024643;-1,386042476
5,57358334;2,042274237;8,362915039;-1,828714728
5,59044262;2,87318182;7,953443527;-3,236591816
5,60730183;2,233700037;7,77637434;-5,228317261
5,62416189;1,163809061;7,685447216;-5,845964909
5,64102194;-0,088534437;8,18345356;-5,341079235
5,65788121;-1,649253011;9,614959717;-5,384150028
5,67474048;-2,425125837;10,08664513;-4,261318207
5,69160053;-1,072283626;10,58465099;-3,305983543
5,70846058;0,96251291;12,01376438;-4,349852562
5,72531986;2,887538671;11,78883934;-4,306781769
5,74217907;3,157927752;8,633303642;-2,69312191
5,75903913;3,68225503;6,232106686;-4,821537495
5,77589918;6,459424496;6,565008163;-7,079165936
5,79275845;5,937490463;5,911169052;-4,304389
5,80961772;3,361317635;6,119643688;-1,577468276
5,82647772;2,38474679;6,473781586;-2,836691141
5,84333782;1,599302888;7,086942673;-5,499005318
5,86019709;1,108475089;7,211369038;-5,812465191
5,87705631;1,283450246;7,070192814;-3,854238987
5,89391636;2,238485575;6,660720825;-3,258127213
5,91077647;2,446960211;6,177071571;-3,75134778
5,92763574;2,791526794;5,650351524;-4,27567482
5,94449496;3,045464993;5,817849159;-4,984249592
5,96135501;3,06460762;5,933003902;-4,898108006
5,97821506;2,880360365;6,009573936;-4,639383793
5,99507433;2,88993144;6,517151356;-5,127819061
6,01193361;2,887538671;6,911967278;-5,623432159
6,0287936;2,650350094;6,737291336;-5,913262844
6,04565371;2,635993242;6,363711834;-6,040082455
6,06251298;3,086143017;6,220142365;-6,820441723
6,0793722;3,651148319;6,117250919;-7,605885983
6,09623225;5,343770981;6,98614502;-8,335995674
6,11309236;7,512865067;8,827422142;-9,018249512
6,12995157;9,602995872;11,0563364;-9,183354378
6,14681084;9,715457916;13,20120239;-7,627421379
6,1636709;6,167201042;10,98933697;-5,635396481
6,18053095;3,911965847;7,687839985;-5,139782906
6,19739022;2,075773716;7,386045456;-5,925227165
6,21424949;1,561017632;7,733303547;-5,71435976
6,23110949;1,584945917;7,369295597;-6,162116528
6,24796959;1,616052628;6,663113594;-6,729514599
6,26482886;1,302592874;6,25842762;-5,853143215
6,28168808;0,766301453;6,74925518;-4,158127785
6,29854814;0,404686123;8,446663857;-3,59790802
6,31540824;0,574875653;9,669994354;-4,577170849
6,33226751;1,103689432;9,55753231;-5,482255936
6,34912673;1,089332461;8,137690544;-5,640182018
6,36598678;1,623231053;7,316653252;-6,487839699
6,38284689;1,427019596;6,758826733;-5,771787167
6,39970616;0,862014353;6,315855503;-5,099104881
6,41656538;0,625124931;6,232106686;-5,448756218
6,43342543;1,149452209;7,022037029;-5,348257542
6,45028548;1,462911963;8,542376518;-5,930012703
6,46714475;1,546660781;8,820243835;-6,676872253
6,48400402;1,41984117;8,120941162;-6,748657227
6,50086407;1,297807217;7,122834682;-6,26979351
6,51772413;1,572981834;6,354140759;-0,085842513
6,5345834;1,462911963;5,805884838;0,905384243
6,55144267;0,902692318;6,236892223;-1,340279818
6,56830272;0,004785645;6,868896484;-3,933202267
6,58516277;-0,064606212;8,044370651;-4,754538536
6,60202204;-0,198604286;8,427521706;-4,325924397
6,61888131;-0,677467883;7,788338661;-3,621836185
6,63574137;-0,461814761;7,604091167;-3,466302633
6,65260142;-0,007178468;8,286344528;-3,56680131
6,66946069;-0,148355007;8,791529655;-3,703491211
6,68631996;-0,375673145;9,1863451;-3,344268799
