Time(s);X(rad/s);Y(rad/s);Z(rad/s)
7,015103137;-0,684148908;2,458049297;-0,311073959
7,031958762;-0,720799744;2,863651991;0,017561859
7,04881522;-0,338409394;2,295563936;0,010231691
7,065670898;0,66475451;1,235133171;-0,055739813
7,082525741;1,180309653;-0,206619084;0,048104223
7,099381418;1,237729311;-1,816812515;-0,192569599
7,116237825;1,227955699;-2,354357958;-0,026419144
7,133093554;1,245059371;-2,279834747;0,605196893
7,149948398;0,251821786;-1,4612993;0,53556031
7,166804075;-0,507003248;1,737249613;1,015838981
7,183660481;-0,090405397;2,128191948;0,931542099
7,20051621;0,310463131;0,441031724;0,059099473
7,217371054;0,288472623;0,230747551;-0,693464339
7,234226679;0,564575553;0,711026192;-1,079519868
7,251083137;0,701405346;0,255181432;-1,143047929
7,267938866;0,485165447;0,521663547;-0,99400121
7,284793658;0,037872531;0,880841732;-0,68246913
7,301649335;-0,334744304;0,007177455;-0,810747027
7,318505793;-0,597408593;-0,636655569;-1,058750987
7,33536147;-0,946813226;-1,235285878;-1,168703556
7,352216314;-1,633405566;-2,025722265;-1,121057391
7,369071991;-2,81478405;-2,219971657;-1,099066973
7,38592845;-3,788474798;-2,428881407;-1,213906169
7,402784127;-3,66752696;-3,218096018;-1,295759797
7,41963897;-2,383526087;-3,395241737;-1,183363795
7,436494648;-1,556438804;-1,719076872;-0,936581552
7,453351054;-1,362189412;-1,113116384;-0,776539564
7,470206783;-1,474585295;-1,290262103;-0,664143682
7,487061627;-1,523453116;-1,18153131;-0,563964725
7,503917304;-1,536891699;-0,898098171;-0,50165832
7,52077371;-1,483137131;-0,581679285;-0,527313888
7,537629439;-1,347529054;-0,300689578;-0,606724024
7,554484283;-1,194817185;-0,254265159;-0,766766012
7,571339908;-1,156944752;-0,653759301;-0,783869743
7,588196366;-1,112963676;-0,997055411;-0,567629814
7,605052095;-0,808761776;-0,939635813;-0,12048962
7,621906939;-0,384833783;-0,849230409;0,288778037
7,638762564;-0,2443389;-1,088682532;0,579541326
7,655619023;-0,02443389;-1,152210593;0,81059432
7,672474752;0,512042701;-0,801584303;1,042716265
7,689329595;1,044701576;-0,497382373;1,174659252
7,70618522;1,805817246;-0,069789298;1,255291104
7,723041679;2,278613091;0,678040445;1,608360887
7,739897408;2,26150918;1,084864736;2,115364075
7,756752252;2,202867985;1,817881465;2,562504292
7,773607929;2,687880754;2,031677961;3,439680815
7,790464335;3,104478598;1,613858461;3,974783182
7,807320064;2,516843319;0,438588321;2,918017387
7,824174908;1,341573238;-1,389219403;0,544112206
7,841030585;0,950631023;-1,015380859;-0,149810284
7,857887043;1,35134685;-0,292137712;-0,412474603
7,87474272;2,485079288;-0,402090222;-0,578625083
7,891597564;3,365921021;-1,359898686;-0,692242682
7,908453241;2,825932026;0,19043164;-0,490663052
7,9253097;2,084363461;2,371309042;-0,37093699
7,942165429;1,164427638;3,441513538;-0,127819791
7,959020273;0,052532863;3,258259296;0,063986249
7,975875898;-0,310310394;2,015795946;0,250905514
7,992732356;0,308019728;0,19043164;0,182490617
8,009588085;1,010494113;-1,516275644;-0,124154702
8,026442929;1,083795786;-1,914548039;-0,336729556
8,043298606;0,716065705;-0,674528062;-0,57251662
8,060155064;0,045202699;0,674375355;-0,835180938
8,077010793;-0,423927993;1,235133171;-1,067302823
8,093865585;-0,724464834;1,384179831;-1,102732062
8,110721262;-1,006676316;1,577207565;-1,011104941
8,12757772;-0,797766507;1,929055691;-0,858393133
8,14443345;-0,530215442;2,001135588;-0,519983709
8,161288293;-0,866181433;2,164842606;-0,329399377
8,17814397;-0,731795013;1,792225838;0,11774081
8,195000429;0,127056226;0,726908267;0,247240424
8,211856158;0,967734754;-0,354444116;0,214254677
8,228711002;1,369672298;-1,728850484;0,366966486
8,245566679;1,511388779;-2,365353346;0,392622083
8,262423137;0,601226389;-2,095358849;0,303438366
8,279278866;0,054976255;1,032331824;0,431716293
8,296133658;-0,210131452;2,208823681;0,735918224
8,312989335;-0,475239158;1,24979353;0,757908762
8,329845793;-0,546097457;0,136677072;0,498909503
8,346701523;-0,094070479;-0,273812294;-0,136371657
8,363556366;0,598783016;0,267398387;-0,637266398
8,380412043;0,749051452;1,305991411;-0,683690786
8,397268502;0,030542362;1,424495816;-0,715454876
8,414124231;-0,398272425;0,891837001;-0,897487342
8,430979075;-0,395829022;0,301758558;-1,05752933
8,447834752;-0,10017895;-0,139425889;-1,371504784
8,46469121;0,113617592;-0,990946949;-1,606070161
8,481546939;-0,255334169;-1,748397589;-1,620730519
8,498401783;-1,3524158;-2,252957344;-1,367839694
8,51525746;-2,768359661;-2,52661705;-1,101510286
8,532113918;-3,965620518;-2,648786545;-1,105175376
8,548969648;-4,244166851;-2,464310646;-1,143047929
8,565824491;-2,499587059;-2,941992998;-1,127165914
8,582680168;-1,413500547;-1,172979474;-0,837624311
8,599536627;-1,035996914;-0,386208177;-0,776539564
8,616392356;-1,128845692;-0,570684075;-0,825407386
8,6332472;-1,319430113;-0,366661072;-0,8559497
8,650102877;-1,342642307;-0,112548605;-0,917034447
8,666959335;-1,263232112;0,036498122;-0,981784284
8,683815064;-1,094638348;0,126903519;-0,965902209
8,700669908;-1,00545454;0,013285927;-0,913369358
8,717525585;-1,014006495;-0,22738789;-0,769209385
8,734382043;-0,888171911;-0,573127449;-0,490663052
8,751237773;-0,580304921;-0,829683304;-0,108272679
8,768092616;-0,331079215;-0,852895498;0,304660082
8,784948293;-0,333522618;-0,868777514;0,53189528
8,801804752;-0,298093468;-1,033706307;0,66994673
8,818660533;0,109952509;-0,768598557;0,899778009
8,835515377;0,658646047;-0,560910523;1,108687758
8,852371054;1,293927193;-0,422859013;1,234522343
8,869227512;1,851019859;0,073148958;1,48008287
8,886083241;2,092915535;0,544875741;1,927223086
8,902938085;1,899887681;0,785549581;2,357259512
8,919793762;1,926764965;1,397618532;2,831277132
8,93665022;2,393452168;1,778787255;3,638817072
8,95350595;2,757517338;0,827087164;4,061523438
8,970360793;2,365353346;-1,083795786;2,469655514
8,987216523;1,249946237;-2,294495106;0,351084471
9,004072981;1,019045949;-1,419761777;-0,215781793
9,02092871;1,414874911;-0,639098942;-0,532200694
9,037783554;2,507069826;-0,38498649;-0,825407386
9,054639231;3,458769798;-1,513832211;-1,081963181
9,071495689;2,741635323;-0,426524103;-0,530978978
9,08835147;1,550483108;2,334658146;-0,143701822
9,105206314;0,45217967;3,593003511;-0,136371657
9,122061991;-0,427593082;2,987043142;-0,019088976
9,13891845;-0,448361874;1,547886968;-0,039857782
9,155774179;0,393538356;-0,085671328;-0,384375632
9,172629023;1,055696726;-1,368450522;-0,741110444
9,189484752;1,017824292;-1,282931924;-0,857171416
9,20634121;0,450957984;0,090252683;-1,001331329
9,223196939;-0,339631081;1,273005724;-1,250557065
9,240051783;-0,781884491;1,582094431;-1,3018682
9,25690746;-1,045770526;1,532004952;-1,242005229
9,27376397;-1,035996914;1,70304215;-1,113727212
