"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.545006733E1,-8.128097534E-1,8.716224518E0,-2.013912048E0
2.546011833E1,-1.660796356E0,9.145831146E0,-1.822160797E0
2.547016833E1,-2.425556030E0,9.729766846E0,-1.648372192E0
2.548021933E1,-3.036884766E0,1.042312500E1,-1.646126862E0
2.549026933E1,-3.498524780E0,1.106933121E1,-1.658251648E0
2.550032033E1,-3.646716614E0,1.129386429E1,-1.576970673E0
2.551037033E1,-3.444936218E0,1.089928482E1,-1.396595764E0
2.552042133E1,-3.022963715E0,1.009006760E1,-1.097368011E0
2.553047133E1,-2.383792877E0,9.220974884E0,-7.858657837E-1
2.554052233E1,-1.923050995E0,8.577762451E0,-6.583309937E-1
2.555057233E1,-1.859582977E0,8.182284851E0,-6.001020813E-1
2.556062333E1,-2.070943451E0,8.120014343E0,-5.706134033E-1
2.557067333E1,-2.425406342E0,8.402626648E0,-5.842350769E-1
2.558072433E1,-2.693798218E0,8.888516235E0,-4.695735168E-1
2.559077433E1,-2.766696625E0,9.351653137E0,-1.818717957E-1
2.560082533E1,-2.730172577E0,9.813293152E0,1.743873596E-1
2.561087533E1,-2.440075836E0,1.021909927E1,2.194436646E-1
2.562092633E1,-2.111209717E0,1.041294617E1,-1.233435059E-1
2.563097633E1,-1.975442047E0,1.038510406E1,-5.351371765E-1
2.564102733E1,-2.201322327E0,1.004905289E1,-9.062155151E-1
2.565107833E1,-2.507884827E0,9.637708282E0,-9.725276184E-1
2.566112833E1,-2.784808960E0,9.335037689E0,-9.433383179E-1
2.567117933E1,-3.023412781E0,9.106313324E0,-9.437873840E-1
2.568122933E1,-3.212469635E0,8.968749390E0,-8.406518555E-1
2.569128033E1,-3.439248047E0,8.942404175E0,-6.924600220E-1
2.570133033E1,-3.609144745E0,9.110055542E0,-5.498066711E-1
2.571138133E1,-3.598516846E0,9.358239441E0,-4.950205994E-1
2.572143133E1,-3.409459991E0,9.497449951E0,-5.363346863E-1
2.573148233E1,-3.113675079E0,9.508676605E0,-7.527845764E-1
2.574153233E1,-2.733765106E0,9.422306213E0,-1.006506958E0
2.575158333E1,-2.352657623E0,9.295519867E0,-1.338217163E0
2.576163333E1,-2.078427887E0,9.093140717E0,-1.720522156E0
2.577168433E1,-2.024390259E0,8.889264679E0,-1.901495819E0
2.578173433E1,-2.155068512E0,8.738378448E0,-1.951042786E0
2.579178533E1,-2.407892761E0,8.604556732E0,-1.986369324E0
2.580183533E1,-2.702929230E0,8.474028168E0,-2.034269714E0
2.581188633E1,-2.975063324E0,8.398285675E0,-2.179018707E0
2.582193633E1,-3.244503021E0,8.406069489E0,-2.304906921E0
2.583198733E1,-3.429218903E0,8.434360657E0,-2.266885986E0
2.584203733E1,-3.565285950E0,8.637488251E0,-2.290985870E0
2.585208833E1,-3.683540039E0,8.908873901E0,-2.463277588E0
2.586213833E1,-3.728596344E0,8.996142426E0,-2.729873199E0
2.587218933E1,-3.846401367E0,8.947194214E0,-2.804268494E0
2.588223933E1,-3.951632538E0,8.861721954E0,-2.373464355E0
2.589229033E1,-3.826792145E0,8.916657715E0,-1.867217102E0
2.590234033E1,-3.569477234E0,9.144933014E0,-1.687291260E0
2.591239133E1,-3.149151306E0,9.302255859E0,-1.628014526E0
