"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.360698583E0,-3.809803352E-2,-1.869638823E-2,-1.438380033E-1
1.370749583E0,-2.969096787E-2,-1.407793351E-2,-1.524405479E-1
1.380799583E0,-2.291698754E-2,-1.095943060E-2,-1.557996720E-1
1.390849583E0,-1.910600439E-2,-9.948761202E-3,-1.505854577E-1
1.400900583E0,-1.299890596E-2,-1.840051636E-2,-1.407216489E-1
1.410950583E0,-1.584742218E-2,-2.488557994E-2,-1.239469275E-1
1.421000583E0,-1.753603481E-2,-3.280075639E-2,-1.117610335E-1
1.431051583E0,-2.676202357E-2,-2.982467413E-2,-1.012407467E-1
1.441101583E0,-4.677459970E-2,-3.154033422E-2,-9.824232012E-2
1.451151583E0,-7.324589044E-2,-3.447753564E-2,-9.546916932E-2
1.461202583E0,-9.960144013E-2,-3.400211409E-2,-9.006246924E-2
1.471252583E0,-1.135627925E-1,-3.297573328E-2,-7.573013753E-2
1.481302583E0,-1.235433519E-1,-4.018048570E-2,-6.480979174E-2
1.491353583E0,-1.184103712E-1,-4.643864557E-2,-5.771672726E-2
1.501403583E0,-9.843476862E-2,-4.472518712E-2,-5.553393066E-2
1.511453583E0,-7.208092511E-2,-3.821615502E-2,-5.456480384E-2
1.521504583E0,-4.508237541E-2,-3.524212539E-2,-5.989543349E-2
1.531554583E0,-2.257200889E-2,-1.735074446E-2,-6.413598359E-2
1.541604583E0,-9.963778779E-3,-7.580316160E-4,-7.230502367E-2
1.551655583E0,-1.016484760E-2,1.126614120E-2,-8.353982866E-2
1.561705583E0,-2.126413584E-2,8.165457286E-3,-9.044268727E-2
1.571755583E0,-3.575279564E-2,4.048210569E-3,-9.118251503E-2
1.581805583E0,-4.562541842E-2,-5.110705271E-3,-9.374935925E-2
1.591856583E0,-5.302181467E-2,-1.508983597E-2,-8.969976008E-2
1.601906583E0,-5.111905187E-2,-2.644310705E-2,-9.121910483E-2
1.611956583E0,-4.620471969E-2,-4.384126887E-2,-9.850418568E-2
1.622007583E0,-3.898492083E-2,-4.972398654E-2,-1.051142216E-1
1.632057583E0,-3.564238548E-2,-4.774472490E-2,-1.154637933E-1
1.642107583E0,-3.126475960E-2,-4.449795932E-2,-1.165178493E-1
1.652158583E0,-3.263735771E-2,-3.571858257E-2,-1.102157459E-1
1.662208583E0,-2.914789319E-2,-2.151982859E-2,-1.020914838E-1
1.672258583E0,-2.438855916E-2,-9.034928866E-3,-9.526180476E-2
1.682309583E0,-1.009214297E-2,6.005065981E-3,-9.069921076E-2
1.692359583E0,1.164803933E-2,1.837065443E-2,-9.316369891E-2
1.702409583E0,2.906298265E-2,2.766428888E-2,-1.050725579E-1
1.712460583E0,4.171299934E-2,1.893711090E-2,-1.127254143E-1
1.722510583E0,4.190607369E-2,7.615971379E-3,-1.184015274E-1
1.732560583E0,3.003583290E-2,-1.099872589E-2,-1.248876601E-1
1.742611583E0,7.054963149E-3,-4.600178450E-2,-1.294341087E-1
1.752661583E0,-1.870898902E-2,-8.461096138E-2,-1.233330742E-1
1.762711583E0,-4.205515981E-2,-1.083845124E-1,-1.164884046E-1
1.772762583E0,-4.940788448E-2,-1.155859679E-1,-1.116888523E-1
1.782812583E0,-4.776103422E-2,-1.015140936E-1,-1.174969748E-1
1.792862583E0,-3.813104704E-2,-6.907599419E-2,-1.346410811E-1
1.802913583E0,-2.903810143E-2,-2.749530971E-2,-1.525427997E-1
1.812963583E0,-2.527105995E-2,1.178604830E-2,-1.625962406E-1
1.823013583E0,-2.781203203E-2,4.423879087E-2,-1.634226441E-1
1.833064583E0,-3.348962218E-2,6.897849590E-2,-1.536869258E-1
1.843114583E0,-3.297175467E-2,7.537355274E-2,-1.338089854E-1
1.853164583E0,-2.461395599E-2,7.068505883E-2,-1.105255112E-1
1.863215583E0,-7.000779267E-3,5.200046301E-2,-8.928380907E-2
1.873265583E0,1.619268954E-2,3.714668006E-2,-6.783764064E-2
1.883315583E0,3.063275851E-2,1.483508851E-2,-5.233965069E-2
1.893366583E0,3.277233988E-2,-6.320530549E-3,-4.142548889E-2
1.903416583E0,2.585678734E-2,-2.159614488E-2,-3.224039450E-2
1.913466583E0,1.518736593E-2,-3.785421327E-2,-3.069949150E-2
1.923516583E0,-3.103727940E-3,-4.567949101E-2,-3.941154853E-2
1.933567583E0,-1.751888543E-2,-3.802210465E-2,-4.906417802E-2
1.943617583E0,-3.180602193E-2,-2.620634809E-2,-6.435522437E-2
1.953667583E0,-4.248503596E-2,-1.780034602E-2,-7.320171595E-2
1.963718583E0,-4.690524191E-2,-6.967093330E-3,-7.157275081E-2
1.973768583E0,-3.903000802E-2,4.677578807E-3,-6.036136672E-2
1.983818583E0,-2.289123647E-2,1.248111669E-2,-5.021369457E-2
1.993869583E0,-1.049555279E-2,1.089919917E-2,-4.140954837E-2
2.003919583E0,9.518321604E-4,-6.221822929E-3,-3.754433244E-2
2.013969583E0,2.636015415E-3,-2.351053245E-2,-3.052050993E-2
2.024020583E0,-2.140210243E-3,-5.014289171E-2,-1.809371449E-2
2.034070583E0,-4.344775341E-3,-6.830698252E-2,-1.488140970E-2
2.044120583E0,-8.113441989E-3,-6.302689016E-2,-1.984069124E-2
2.054171583E0,-1.305999700E-2,-5.439824611E-2,-2.923818491E-2
2.064221583E0,-2.567151003E-2,-3.694783151E-2,-4.108849540E-2
2.074271583E0,-5.206290632E-2,-2.297875471E-2,-4.853948951E-2
2.084322583E0,-7.315661013E-2,-1.111757662E-2,-4.698565230E-2
2.094372583E0,-8.770066500E-2,-8.974798024E-3,-3.525522724E-2
2.104422583E0,-9.124873579E-2,-1.316543017E-2,-1.555728260E-2
2.114473583E0,-7.713931054E-2,-2.505644411E-2,2.054346260E-4
2.124523583E0,-5.290897563E-2,-3.698011488E-2,1.190438308E-2
2.134573583E0,-2.791734040E-2,-4.894409701E-2,1.079038344E-2
2.144624583E0,-3.951159772E-3,-6.337401271E-2,4.354336299E-3
2.154674583E0,5.493207835E-3,-6.481957436E-2,-1.307871565E-2
2.164724583E0,2.996572293E-3,-5.709624663E-2,-2.894984931E-2
2.174775583E0,-1.108649001E-2,-4.529045522E-2,-4.088693485E-2
2.184825583E0,-3.854380548E-2,-3.907976300E-2,-5.073012784E-2
2.194875708E0,-6.382626295E-2,-3.364504874E-2,-4.958683252E-2
2.204926708E0,-7.891266048E-2,-1.808791608E-2,-5.209514499E-2
2.214976708E0,-8.785848320E-2,-2.937993268E-3,-5.495218188E-2
2.225026708E0,-9.086161852E-2,4.401895683E-3,-5.297234654E-2
2.235077708E0,-8.209982514E-2,-4.418618046E-4,-4.453917965E-2
2.245127708E0,-6.686592847E-2,-1.591990143E-2,-3.524889797E-2
2.255177708E0,-4.728849977E-2,-3.223602474E-2,-2.758618630E-2
2.265227708E0,-2.178240381E-2,-5.606949329E-2,-1.664073206E-2
2.275278708E0,2.495239023E-3,-6.300249696E-2,-6.333499681E-3
2.285328708E0,1.932790503E-2,-5.236418918E-2,-5.377471447E-3
